3	237465
3	232813
3	221316
7	64775
3	216843
4	248134
1	40994
5	150729
1	43955
3	107253
3	152898
4	160758
3	104159
3	253191
2	261437
7	84080
3	258052
6	225943
4	260073
3	252658
5	279542
1	81092
5	474142
7	158704
3	460766
6	442218
7	159611
6	409717
1	91072
7	164158
3	378901
3	459275
5	438060
6	394795
6	482616
2	595872
6	498937
5	505596
5	563113
1	94609
5	597034
7	181104
3	536442
3	516694
6	473163
7	171212
2	560200
7	172359
7	171092
6	451238
5	489374
2	532564
4	469023
1	78316
2	527574
6	455484
3	255522
2	270825
4	248212
5	236904
1	49999
5	0
7	0
1	48022
3	264189
5	172937
6	195127
6	160644
1	42827
1	43138
6	226688
3	187956
7	94499
1	42886
4	255026
1	52993
3	311487
2	335536
2	324094
4	310740
4	300918
6	301617
4	423191
6	387939
5	432164
3	295398
3	430428
6	379593
6	428605
2	494755
4	109317
1	80853
3	462100
4	445226
7	163156
3	462163
7	172704
2	382138
4	501075
1	87707
5	508566
1	90733
4	556051
6	504904
4	572209
2	607776
1	96270
5	547945
5	521790
2	582192
7	171539
7	189197
1	97736
2	582939
7	171288
2	462160
7	211658
4	534689
5	510551
2	556311
1	89399
2	580877
2	550203
1	85318
5	489167
5	498758
6	419166
2	540502
5	454296
7	151143
4	447884
5	466823
2	512241
1	78394
4	239625
1	48475
7	0
6	0
2	274408
5	231434
5	58572
6	187566
2	252291
7	73564
7	73341
4	116975
2	151536
2	95791
6	109507
1	44175
4	247725
4	254832
5	248470
4	290977
1	58825
5	295786
1	56242
5	414484
1	77231
6	381617
5	415053
4	423697
2	447680
4	486803
6	219631
2	422632
2	510411
6	421108
1	82631
7	153418
7	164240
5	487563
3	539651
7	170322
3	557022
5	550386
7	186575
5	516147
4	548875
2	574527
7	132380
1	91075
6	123709
5	534556
3	552806
5	536388
1	92438
2	522800
6	464990
3	578282
3	545735
3	487828
1	79754
2	472764
5	440013
1	79883
3	499666
7	149663
1	80571
7	81667
3	258152
4	0
1	0
3	0
6	225993
6	44279
4	158479
2	182272
2	159017
2	276658
4	256609
1	3221
6	227346
5	246138
3	263932
6	140953
5	255630
2	274431
1	49799
3	286589
7	98185
6	268475
4	80093
6	279528
7	108653
6	264910
3	300012
5	310522
2	483701
5	397471
6	410590
3	505892
5	395416
7	115586
4	451643
1	79106
5	448470
4	465260
2	584271
4	542437
4	443892
7	150492
2	660075
7	180856
4	577344
1	89980
4	555475
5	530092
2	569781
1	95687
6	429787
6	470048
5	478201
7	184630
2	428223
5	440947
4	472699
6	413649
5	436791
6	441010
6	420014
4	464979
5	215969
7	92203
2	270341
4	249617
1	46795
2	0
6	0
7	69739
4	209640
3	214322
1	39662
4	102507
6	155977
6	74979
4	105929
5	106130
7	72676
4	130425
7	74970
5	108951
2	94558
6	35764
1	46379
7	88064
7	93629
4	264085
1	55015
4	311449
6	279384
3	442474
7	138842
1	73544
2	428362
2	498201
1	88432
7	104054
3	472377
3	502075
3	568171
2	195419
2	601972
3	571229
2	571484
3	554280
5	467570
4	559759
1	95757
4	567380
3	522816
5	497359
4	496792
2	534278
6	477116
3	525428
4	508787
1	87017
6	466641
4	446289
5	473771
4	483957
1	80910
3	487809
6	421930
5	447139
7	154303
6	213534
6	229947
3	0
7	0
4	259855
1	37372
6	192123
5	102134
2	124604
1	39866
6	171573
5	135143
6	107755
1	5069
5	249450
7	83901
1	46736
2	277313
1	51325
6	253566
7	95644
6	225508
3	265017
5	258249
7	102947
3	321855
7	104790
7	99004
3	313797
2	458694
6	391010
7	153670
2	444787
1	83201
7	146056
3	493420
2	397775
5	438623
1	81710
4	463373
6	430658
5	429503
2	479222
1	83870
7	147899
6	406106
4	492146
2	588657
1	94065
6	444927
1	75239
4	534119
6	502669
7	190810
1	93049
3	539510
7	186070
4	531082
6	506683
2	536291
3	134184
3	524606
4	522026
7	176377
2	567533
5	492642
4	504586
5	149503
1	87420
4	501437
1	87371
3	472675
4	424147
3	469060
2	497426
6	236035
7	83213
4	0
2	0
4	191845
7	75127
5	204695
2	212042
7	79961
4	150148
2	169792
1	48556
3	120103
3	89291
5	236474
2	277940
2	292199
5	239931
2	271205
2	276827
3	300150
5	308578
2	318402
1	78760
4	108321
1	81678
4	60278
5	396415
2	484094
7	161854
3	412745
5	500404
6	409470
2	473472
5	439245
4	427640
6	313375
5	316015
2	528716
5	519378
7	174509
2	614393
3	571103
7	189356
6	505653
3	587166
6	514504
5	522536
6	484540
4	548379
2	593290
3	543847
4	538085
6	491626
4	521152
7	189534
6	475795
1	88719
4	506851
6	475344
5	486875
7	173428
3	521947
7	161167
6	460632
7	166039
3	506581
6	427992
7	160391
2	461356
3	466868
5	234986
2	263892
1	7
4	202170
2	237050
1	43876
3	212332
7	80340
5	207843
3	183470
3	110868
7	76262
5	52581
7	83078
5	62271
1	49536
4	283793
6	256934
2	318454
5	300804
1	54620
7	143064
7	145546
3	429973
2	483641
6	414618
5	446070
1	80303
3	116957
4	554077
7	142047
4	452480
1	84809
4	455129
3	443759
4	358059
1	101499
1	83454
3	550370
6	519125
3	118785
1	89841
3	572844
4	551748
7	179038
6	492638
1	96475
6	504413
3	563487
5	522890
6	524877
1	90908
5	462833
3	535349
1	90458
1	93992
4	503270
3	506029
1	96916
7	169497
4	535490
2	544291
7	148592
3	445746
7	148085
2	518418
7	158531
1	78772
