03/07/11	53	42	15	36	8	24	9	5
07/07/11	683	463	166	259	96	321	84	46
10/07/11	40	24	10	15	11	14	3	1
11/07/11	1505	1018	413	615	207	605	191	158
12/07/11	1391	885	350	523	216	503	182	103
13/07/11	1249	963	354	519	188	525	184	152
14/07/11	1402	884	315	523	214	523	147	136
15/07/11	1163	760	301	464	158	467	141	98
16/07/11	632	384	173	251	68	229	90	49
17/07/11	500	310	128	244	60	178	61	31
18/07/11	1271	1010	317	492	183	533	165	151
19/07/11	965	699	215	400	146	475	85	96
20/07/11	1214	889	275	543	153	469	157	134
21/07/11	1203	868	285	469	158	505	164	98
22/07/11	1060	753	263	640	142	479	151	99
23/07/11	626	437	157	313	74	254	74	43
24/07/11	522	315	149	205	56	186	59	26
25/07/11	1274	964	349	698	286	584	177	114
26/07/11	1194	872	348	521	253	488	331	99
27/07/11	1220	873	326	480	172	540	167	123
28/07/11	1179	850	382	508	185	572	196	75
29/07/11	1155	796	258	428	155	408	145	98
30/07/11	652	502	136	266	66	236	83	49
31/07/11	486	378	135	169	75	192	68	34
01/08/11	1309	1080	341	475	234	594	206	138
02/08/11	1220	938	278	434	155	479	216	123
03/08/11	1119	764	281	430	211	541	137	110
04/08/11	1129	840	290	429	162	491	187	94
05/08/11	654	457	160	273	84	303	90	48
06/08/11	698	431	135	240	71	227	88	34
07/08/11	457	376	105	198	49	168	56	35
08/08/11	1277	1025	287	535	199	552	186	122
09/08/11	955	741	282	362	174	422	129	91
10/08/11	1025	799	265	458	192	523	182	131
11/08/11	1014	764	316	389	124	432	180	84
12/08/11	1054	699	262	372	176	435	125	117
13/08/11	598	391	139	262	78	258	104	36
14/08/11	455	285	107	180	80	203	55	29
15/08/11	1085	937	290	471	182	478	227	125
16/08/11	1167	925	296	411	171	543	200	129
17/08/11	1175	978	293	453	179	607	179	111
18/08/11	1218	981	270	444	207	501	205	128
19/08/11	1041	775	276	465	169	473	165	154
20/08/11	794	482	157	279	97	263	100	100
21/08/11	438	274	97	153	60	160	60	32
22/08/11	1335	1072	321	498	234	741	201	122
23/08/11	1308	912	306	447	214	519	202	126
24/08/11	1201	717	304	419	273	535	152	117
25/08/11	1083	813	316	390	201	509	159	111
26/08/11	1040	691	269	397	167	446	221	82
27/08/11	693	476	151	286	94	284	99	70
28/08/11	482	273	131	182	81	181	79	20
29/08/11	1215	811	335	405	217	519	164	90
30/08/11	1268	1005	343	506	194	611	184	137
31/08/11	1165	839	431	545	207	567	207	105
01/09/11	1238	849	323	482	149	525	188	95
02/09/11	1044	703	303	435	190	613	170	122
03/09/11	767	404	162	283	120	283	117	53
04/09/11	480	348	194	208	81	184	86	25
05/09/11	1304	1157	491	548	215	606	207	135
06/09/11	1158	823	327	468	192	534	176	131
07/09/11	586	353	135	287	91	210	79	30
08/09/11	1233	864	411	640	251	578	185	108
09/09/11	1270	780	369	494	165	434	178	111
10/09/11	675	501	163	311	74	290	110	64
11/09/11	740	335	145	229	62	203	90	23
12/09/11	1326	975	372	657	257	679	238	178
13/09/11	1216	997	458	544	222	613	199	147
14/09/11	1232	1108	400	496	220	508	173	207
15/09/11	1271	876	360	542	206	550	188	181
16/09/11	1169	848	350	471	240	495	253	129
17/09/11	714	479	152	388	149	337	138	89
18/09/11	511	321	143	247	85	213	84	35
19/09/11	1251	1092	372	583	256	686	253	174
20/09/11	1211	958	356	596	215	654	310	160
21/09/11	1314	945	450	502	200	654	311	188
22/09/11	1332	868	357	480	225	806	225	156
23/09/11	1289	786	402	495	205	552	173	151
24/09/11	743	501	167	291	68	291	139	90
25/09/11	628	312	114	245	82	193	77	57
26/09/11	1461	1083	427	700	283	692	244	237
27/09/11	1351	1031	353	616	231	617	201	201
28/09/11	1312	839	321	517	205	588	164	149
29/09/11	1607	920	391	632	279	616	205	218
30/09/11	1229	872	365	541	192	477	195	136
01/10/11	809	476	160	297	84	257	102	89
02/10/11	601	330	140	207	55	166	50	58
03/10/11	1407	1049	431	519	267	745	226	264
04/10/11	1324	886	362	440	193	531	178	157
05/10/11	1210	896	391	554	213	684	163	199
06/10/11	1320	833	472	582	240	651	177	156
07/10/11	1229	888	287	520	172	521	150	147
08/10/11	720	472	176	303	100	273	69	60
09/10/11	549	353	139	273	82	182	71	60
10/10/11	1519	1027	458	651	240	630	198	254
11/10/11	1133	784	293	559	241	527	188	180
12/10/11	667	406	137	300	63	283	63	44
13/10/11	1108	793	287	495	190	473	151	167
14/10/11	1273	835	314	537	157	511	139	127
15/10/11	836	560	174	346	96	294	103	63
16/10/11 01:00	659	384	122	260	68	241	60	38
17/10/11	1392	1090	384	543	259	575	171	159
18/10/11	756	402	146	279	97	221	74	48
19/10/11	427	135	71	99	22	99	33	9
20/10/11	1396	831	388	566	195	574	170	139
21/10/11	1549	841	304	600	203	527	184	153
22/10/11	777	443	195	299	74	292	86	71
23/10/11	580	344	159	227	74	202	67	51
24/10/11	1460	1110	358	612	244	571	201	241
