6	2784
7	1551
1	1248
2	3227
3	3049
4	2772
5	2586
6	2192
7	1142
1	923
2	1507
3	1135
4	1949
5	2320
6	2447
7	1631
1	877
2	1909
3	4344
4	4284
5	4041
6	4656
7	2375
1	1748
2	5327
3	5131
4	5125
5	4808
6	4598
7	2947
1	1999
2	5353
3	4517
4	4694
5	4090
6	4195
7	2364
1	1969
2	8663
3	6888
4	4638
5	4869
6	140
7	1899
1	1713
2	4710
3	4924
4	4700
5	4632
6	3986
7	2352
1	1616
3	4065
4	3210
5	1426
6	1452
7	1884
1	1460
2	4640
3	4150
4	4177
5	3841
6	3396
7	1971
1	1477
2	3938
3	3846
4	3403
5	3681
6	2943
7	1797
1	1346
2	4372
3	3863
4	3221
5	3385
6	3595
7	2214
1	1531
2	3383
3	3523
4	2017
5	2481
6	2741
7	2138
1	1646
2	2653
3	2255
4	3005
5	3153
6	2613
7	2202
1	1613
2	1998
3	1770
4	1737
5	1123
6	2747
7	1795
1	1455
2	2701
3	2484
4	2271
5	1995
6	1373
7	1777
1	1286
2	2421
3	2234
4	1952
5	1645
6	1843
7	1706
1	1513
2	1983
3	1868
4	1971
5	1767
6	1625
7	1798
1	1367
2	1508
3	1810
6	562
1	192
5	2118
1	118
2	4712
3	4153
4	4134
5	4144
6	3552
7	1876
1	1512
2	4122
3	3081
4	3834
5	3750
6	3587
7	1978
1	1518
2	4446
3	4106
4	3901
5	3947
6	3443
7	1990
1	1537
2	4377
3	3843
4	3593
5	3622
6	2069
7	1924
1	1444
2	4183
3	3156
4	3575
5	3303
6	3240
7	1866
1	1394
2	3795
3	3842
4	3975
5	3954
6	3518
7	2272
1	1274
2	4524
3	4034
4	3718
5	3582
6	3313
7	2153
1	1429
2	3756
3	4248
4	4066
5	3849
6	3580
7	2189
1	1606
2	4663
3	3809
4	1771
5	4270
6	3801
7	2188
1	1827
2	4682
3	4396
4	4344
5	4174
6	3955
7	2446
1	1639
2	4667
3	4460
4	4564
5	4449
6	4053
7	2290
1	1708
2	5127
3	4601
4	4095
5	4868
6	4007
7	2274
1	1607
2	4908
3	4071
4	4310
5	4431
6	3914
7	2173
1	1709
2	4977
3	3905
4	1963
5	3664
6	3893
7	2472
1	1832
2	4573
3	2023
4	895
5	4259
6	4361
7	2237
1	1704
2	4797
3	4900
4	4564
5	4540
6	4035
7	2321
1	1770
2	5128
3	4282
4	2095
5	5075
6	4294
7	2421
1	1736
2	5361
3	5488
4	5193
5	4833
6	4325
7	2121
1	1751
2	4610
3	2504
4	5219
5	4789
6	4048
7	2248
1	1733
2	5300
3	4760
4	5140
5	4751
6	4335
7	2369
1	1692
2	5143
3	5448
4	5179
5	4907
6	4328
7	2374
1	1616
2	5997
3	5527
4	5006
5	4301
6	4750
7	2584
1	1639
2	5693
3	4945
4	4778
5	4791
6	4469
7	2135
1	1435
2	5362
3	4379
4	4379
5	4205
6	2958
7	1035
1	950
2	5156
3	4972
4	4528
5	3718
6	2581
7	1031
1	1017
2	5240
3	5065
4	5442
5	5098
6	4996
7	2329
1	1596
2	5916
3	5141
4	5238
5	5005
6	5124
7	2556
1	1717
2	6141
3	4870
4	4647
5	4394
6	3817
7	2415
1	1794
2	5479
3	5057
4	4436
5	4969
6	4651
7	2602
1	1828
2	5421
3	4765
4	4642
5	4486
6	4474
7	2342
1	1697
2	5344
3	4917
4	4945
5	4674
6	4584
7	2653
1	1763
2	5634
3	5039
4	4907
5	4300
6	3797
7	1840
1	1235
2	2136
3	1582
4	4657
5	5268
6	4705
7	2715
1	1741
2	5234
3	5082
4	4778
5	4316
6	4201
7	2439
1	1799
2	5339
3	4861
4	4903
5	4622
6	4299
7	2565
1	1747
2	5390
3	5133
4	4772
5	4825
6	4493
7	1888
1	1757
2	5572
3	5052
4	4731
5	4470
6	4245
7	2552
1	1563
2	5021
3	4685
4	4178
5	4152
6	3774
7	2195
1	1411
2	4712
3	4169
4	4114
5	3106
6	1516
7	1867
1	1350
2	5034
3	4498
4	4352
5	4272
6	3824
7	2214
1	1472
2	4667
3	4341
4	4302
5	4179
6	3855
7	2006
1	1493
2	4673
3	4468
4	4347
5	4178
6	3691
7	2240
1	1476
2	3770
3	1593
4	4189
5	4191
6	3606
7	2042
1	1267
2	4497
3	4104
4	4042
5	4007
6	3646
7	2055
1	1243
2	4244
3	4102
4	4112
5	3467
6	3937
7	1972
1	1474
2	4793
3	5129
4	5296
5	5572
6	5441
7	3305
1	2306
2	6917
3	5841
4	5149
5	4882
6	4521
7	2647
1	1778
2	5591
3	5105
4	4069
5	2302
6	4098
7	2225
1	1705
2	5065
3	4318
4	4314
5	4494
6	4274
7	2467
1	1624
2	5195
3	4620
4	4322
5	3893
6	3928
7	1974
1	1346
2	4612
3	4037
4	4207
5	4132
6	3659
7	2184
1	1559
2	4323
3	4231
4	3822
5	3784
6	3511
7	1976
1	1278
2	3575
3	4212
4	3869
5	4084
6	3673
7	2076
1	1543
2	4668
3	4109
4	4047
5	3709
6	3379
7	1917
1	1374
2	4316
3	3906
4	3813
5	3423
6	3075
7	1605
1	1173
2	3665
3	3347
4	3037
5	3198
6	3123
7	1746
1	1183
2	3815
3	3434
4	3338
5	3136
6	2966
7	1559
1	1068
2	3750
3	3809
4	3292
5	3341
6	3058
7	1665
1	1005
2	3261
3	3086
4	3371
5	3244
